!CSV A.01.01
!Keysight Technologies,N5247A,US56070668,A.10.47.06
!Date: Tuesday, November 12, 2019 09:03:01
!Source: Standard

!CW Freq: 28000000000 Hz
BEGIN CH1_DATA
Time(s),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
0.57257626912821,-19.551754,-82.269005,-36.694717,-44.804718,-31.133894,62.261158,10.056932,60.327919
0.57704952123077,-19.54991,-82.278961,-36.998837,-35.532822,-31.514208,63.409962,9.5368395,72.922707
0.58152277333333,-19.545954,-82.291435,-37.206535,-33.732307,-31.402857,63.439117,9.0550461,74.827728
0.5859960254359,-19.542646,-82.290962,-37.639847,-44.390202,-31.58371,63.003952,8.8486881,65.728233
0.59046927753846,-19.544056,-82.311081,-39.82951,-36.003124,-31.64995,61.817043,6.3751106,71.185432
0.59494252964103,-19.546192,-82.303177,-37.062035,-37.577045,-31.412569,63.231495,9.176115,72.544632
0.59941578174359,-19.54977,-82.302139,-37.307335,-30.767872,-31.601551,64.28363,9.3919792,77.106155
0.60388903384615,-19.552895,-82.265228,-36.95013,-44.983093,-31.298981,62.144852,9.8924026,61.762825
0.60836228594872,-19.551622,-82.222824,-36.966194,-38.363785,-31.353506,63.598179,9.90872,72.088661
0.61283553805128,-19.549906,-82.225739,-37.234665,-39.973263,-31.392483,63.699635,9.6718397,68.55928
0.61730879015385,-19.549597,-82.219261,-37.770657,-31.608562,-31.54216,63.715195,8.6343155,77.125481
0.62178204225641,-19.548399,-82.214294,-38.500298,-28.357862,-31.791546,64.021561,8.1497507,83.112686
0.62625529435897,-19.546438,-82.226357,-36.374916,-38.521332,-31.221863,63.40126,10.260807,70.09774
0.63072854646154,-19.550011,-82.251312,-34.355358,-44.474167,-30.984457,63.787567,12.351098,66.400192
0.6352017985641,-19.552286,-82.263268,-35.860367,-45.856735,-31.16305,63.68261,11.032545,60.532749
0.63967505066667,-19.552105,-82.267838,-38.426571,-43.931492,-31.613436,61.862785,8.0762815,63.656769
0.64414830276923,-19.552975,-82.281624,-35.961052,-38.525677,-31.145229,62.943672,10.676179,68.717926
0.64862155487179,-19.552431,-82.291756,-36.021709,-44.977596,-31.222767,63.213612,10.643874,62.7915
